COHORT	COHORT_MANUSCRIPT_LONG_NAME	SOURCE	PLATFORM	REFERENCE_DOI	TYPE	TREATED	AGE	SAMPLES	MUTATIONS_TOTAL	MUTATIONS_SNV	MUTATIONS_MNV	MUTATIONS_INS	MUTATIONS_DEL	LEVEL_A_LONG	LEVEL_A	LEVEL_B_LONG	LEVEL_B	LEVEL_0	LEVEL_1	LEVEL_2	LEVEL_3	LEVEL_4	LEVEL_5
PCAWG_WGS_BREAST_LOBULARCA	Breast lobular carcinomas (PCAWG)	PCAWG	WGS	10.1101/162784	Primary	Untreated	Adult	10	25868	24179	83	940	666	Invasive Breast Carcinoma (BRCA)	BRCA	None	None	PANCANCER	Breast (BREAST)	Invasive Breast Carcinoma (BRCA)	Breast Invasive Lobular Carcinoma (ILC)		
HARTWIG_BREAST	Breast cancers (Hartwig Medical Foundation)	HARTWIG	WGS	10.1038/s41586-019-1689-y	Metastasis	Treated	Adult	589	4837071	4375809	30239	279521	151502	Invasive Breast Carcinoma (BRCA)	BRCA	None	None	PANCANCER	Breast (BREAST)	Invasive Breast Carcinoma (BRCA)			
HARTWIG_UTERUS_CERVICAL	Cervical cancers (Hartwig Medical Foundation)	HARTWIG	WGS	10.1038/s41586-019-1689-y	Metastasis	Treated	Adult	26	315112	289619	3582	12599	9312	Cervix (CERVIX)	CERVIX	None	None	PANCANCER	Cervix (CERVIX)				
PCAWG_WGS_CERVIX_SCC	Cervical squamous cell carcinomas (PCAWG)	PCAWG	WGS	10.1101/162784	Primary	Untreated	Adult	18	110748	104489	309	3257	2693	Cervix (CERVIX)	CERVIX	None	None	PANCANCER	Cervix (CERVIX)	Cervical Squamous Cell Carcinoma (CESC)			
HARTWIG_BILIARY	Biliary tract cancers (Hartwig Medical Foundation)	HARTWIG	WGS	10.1038/s41586-019-1689-y	Metastasis	Treated	Adult	69	458879	405183	3786	25189	24721	Biliary Tract (BILIARY_TRACT)	BILIARY_TRACT	None	None	PANCANCER	Biliary Tract (BILIARY_TRACT)				
PCAWG_WGS_BILIARY_ADENOCA	Biliary tract cancers (PCAWG)	PCAWG	WGS	10.1101/162784	Primary	Untreated	Adult	33	242182	224183	1321	9712	6966	Biliary Tract (BILIARY_TRACT)	BILIARY_TRACT	None	None	PANCANCER	Biliary Tract (BILIARY_TRACT)				
PCAWG_WGS_LYMPH_CLL	Chronic lymphocytic leukemias (PCAWG)	PCAWG	WGS	10.1101/162784	Primary	Untreated	Adult	90	213273	201624	832	7526	3291	Non-Hodgkin Lymphoma (NHL)	NHL	Lymphoid Neoplasm (LNM)	LNM	PANCANCER	Lymphoid (LYMPH)	Lymphoid Neoplasm (LNM)	Non-Hodgkin Lymphoma (NHL)	Mature B-Cell Neoplasms (MBN)	Chronic Lymphocytic Leukemia (CLL)
HARTWIG_SKIN_MELANOMA	Cutaneous melanomas (Hartwig Medical Foundation)	HARTWIG	WGS	10.1038/s41586-019-1689-y	Metastasis	Treated	Adult	244	13122239	12717203	225922	120520	58594	Cutaneous Melanoma (SKCM)	SKCM	Skin (SKIN)	SKIN	PANCANCER	Skin (SKIN)	Melanoma (MEL)	Cutaneous Melanoma (SKCM)		
D_CM	Cutaneous melanomas (St. Jude Children's Research Hospital Cloud)	STJUDE	WGS	10.1038/jid.2014.425	Primary	Untreated	Pediatric	5	57600	57587	0	8	5	Cutaneous Melanoma (SKCM)	SKCM	Skin (SKIN)	SKIN	PANCANCER	Skin (SKIN)	Melanoma (MEL)	Cutaneous Melanoma (SKCM)		
PCAWG_WGS_SKIN_MELANOMA	Cutaneous melanomas (PCAWG)	PCAWG	WGS	10.1101/162784	Primary	Untreated	Adult	98	7339443	7140676	121007	57184	20576	Cutaneous Melanoma (SKCM)	SKCM	Skin (SKIN)	SKIN	PANCANCER	Skin (SKIN)	Melanoma (MEL)	Cutaneous Melanoma (SKCM)		
HARTWIG_COLONRECTUM	Colorectal cancers (Hartwig Medical Foundation)	HARTWIG	WGS	10.1038/s41586-019-1689-y	Metastasis	Treated	Adult	436	7723902	6765473	80122	467350	410957	Colorectal Adenocarcinoma (COADREAD)	COADREAD	Bowel (BOWEL)	BOWEL	PANCANCER	Bowel (BOWEL)	Colorectal Adenocarcinoma (COADREAD)			
PCAWG_WGS_COLORECT_ADENOCA	Colorectal adenocarcinomas (PCAWG)	PCAWG	WGS	10.1101/162784	Primary	Untreated	Adult	43	680610	609273	2402	35077	33858	Colorectal Adenocarcinoma (COADREAD)	COADREAD	Bowel (BOWEL)	BOWEL	PANCANCER	Bowel (BOWEL)	Colorectal Adenocarcinoma (COADREAD)			
D_EPD	Ependymomas (St. Jude Children's Research Hospital Cloud)	STJUDE	WGS	10.1038/nature13109	Primary	Untreated	Pediatric	39	9158	9114	0	34	10	Ependymoma (EPM)	EPM	CNS/Brain (BRAIN)	BRAIN	PANCANCER	CNS/Brain (BRAIN)	Ependymomal Tumor (EPMT)	Ependymoma (EPM)		
HARTWIG_ESOPHAGUS	Esophageal cancers (Hartwig Medical Foundation)	HARTWIG	WGS	10.1038/s41586-019-1689-y	Metastasis	Treated	Adult	124	3107630	2812687	15470	172337	107136	Esophageal cancer (ES)	ES	Esophagus/Stomach (ESOPHA_STOMACH)	ESOPHA_STOMACH	PANCANCER	Esophagus/Stomach (ESOPHA_STOMACH)	Esophageal cancer (ES)			
PCAWG_WGS_ESO_ADENOCA	Esophageal adenocarcinomas (PCAWG)	PCAWG	WGS	10.1101/162784	Primary	Untreated	Adult	92	2203506	2069100	6951	74188	53267	Esophageal cancer (ES)	ES	Esophagus/Stomach (ESOPHA_STOMACH)	ESOPHA_STOMACH	PANCANCER	Esophagus/Stomach (ESOPHA_STOMACH)	Esophageal cancer (ES)	Esophagogastric Adenocarcinoma (EGC)	Esophageal Adenocarcinoma (ESCA)	
PEDCBIOP_WGS_ES_IOCURIE_2014	Ewing's sarcomas (Institut Curie)	PEDCBIOP	WGS	10.1158/2159-8290.CD-14-0622	Primary	Untreated	Pediatric	94	1571	1459	0	80	32	Bone/Soft Tissue (BONE_SOFT_TISSUE)	BONE_SOFT_TISSUE	None	None	PANCANCER	Bone/Soft Tissue (BONE_SOFT_TISSUE)	Soft Tissue (SOFT_TISSUE)	Ewing Sarcoma of Soft Tissue (ESST)		
HARTWIG_NERVOUS_SYSTEM_GLIOBLASTOMA_MULTIFORME	Glioblastomas (Hartwig Medical Foundation)	HARTWIG	WGS	10.1038/s41586-019-1689-y	Metastasis	Treated	Adult	54	371363	335086	1413	24920	9944	Glioblastoma Multiforme (GBM)	GBM	CNS/Brain (BRAIN)	BRAIN	PANCANCER	CNS/Brain (BRAIN)	Diffuse Glioma (DIFG)	Glioblastoma (GB)	Glioblastoma Multiforme (GBM)	
PCAWG_WGS_CNS_GBM	Glioblastomas (PCAWG)	PCAWG	WGS	10.1101/162784	Primary	Untreated	Adult	38	256159	238855	733	13207	3364	Glioblastoma Multiforme (GBM)	GBM	CNS/Brain (BRAIN)	BRAIN	PANCANCER	CNS/Brain (BRAIN)	Diffuse Glioma (DIFG)	Glioblastoma (GB)	Glioblastoma Multiforme (GBM)	
HARTWIG_LIVER	Hepatic cancers (Hartwig Medical Foundation)	HARTWIG	WGS	10.1038/s41586-019-1689-y	Metastasis	Treated	Adult	50	533891	488072	7241	22724	15854	Liver (LIVER)	LIVER	None	None	PANCANCER	Liver (LIVER)				
PCAWG_WGS_LIVER_HCC	Hepatocellular carcinoma (PCAWG)	PCAWG	WGS	10.1101/162784	Primary	Untreated	Adult	306	3435320	3228072	33953	111928	61367	Liver (LIVER)	LIVER	None	None	PANCANCER	Liver (LIVER)	Hepatocellular Carcinoma (HCC)			
D_HGG	High-grade gliomas (St. Jude Children's Research Hospital Cloud)	STJUDE	WGS	10.1038/ng.2938	Primary	Untreated	Pediatric	20	22232	22175	1	42	14	High-Grade Glioma, NOS (HGGNOS)	HGGNOS	CNS/Brain (BRAIN)	BRAIN	PANCANCER	CNS/Brain (BRAIN)	Diffuse Glioma (DIFG)	High-Grade Glioma, NOS (HGGNOS)		
HARTWIG_HEAD_AND_NECK	Head and neck cancers (Hartwig Medical Foundation)	HARTWIG	WGS	10.1038/s41586-019-1689-y	Metastasis	Treated	Adult	55	535956	484169	7802	27143	16842	Head and Neck (HEAD_NECK)	HEAD_NECK	None	None	PANCANCER	Head and Neck (HEAD_NECK)				
PCAWG_WGS_HEAD_SCC	Head and neck squamous cell carcinomas (PCAWG)	PCAWG	WGS	10.1101/162784	Primary	Untreated	Adult	50	516052	488759	3064	14206	10023	Head and Neck (HEAD_NECK)	HEAD_NECK	None	None	PANCANCER	Head and Neck (HEAD_NECK)	Head and Neck Squamous Cell Carcinoma (HNSC)			
PCAWG_WGS_BONE_LEIOMYO	Leiomyosarcomas (PCAWG)	PCAWG	WGS	10.1101/162784	Primary	Untreated	Adult	31	141255	133882	771	5216	1386	Bone/Soft Tissue (BONE_SOFT_TISSUE)	BONE_SOFT_TISSUE	None	None	PANCANCER	Bone/Soft Tissue (BONE_SOFT_TISSUE)	Soft Tissue (SOFT_TISSUE)	Leiomyosarcoma (LMS)		
PCAWG_WGS_CNS_OLIGO	Oligodendrogliomas (PCAWG)	PCAWG	WGS	10.1101/162784	Primary	Untreated	Adult	18	47528	43643	88	2914	883	Oligodendroglioma (ODG)	ODG	CNS/Brain (BRAIN)	BRAIN	PANCANCER	CNS/Brain (BRAIN)	Diffuse Glioma (DIFG)	Oligodendroglioma (ODG)		
D_LGG	Low-grade gliomas (St. Jude Children's Research Hospital Cloud)	STJUDE	WGS	10.1007/s00401-016-1539-z	Primary	Untreated	Pediatric	38	8245	8235	0	6	4	Low-Grade Glioma, NOS (LGGNOS)	LGGNOS	CNS/Brain (BRAIN)	BRAIN	PANCANCER	CNS/Brain (BRAIN)	Encapsulated Glioma (ENCG)	Low-Grade Glioma, NOS (LGGNOS)		
HARTWIG_NET_LUNG	Lung Neuroendocrine tumors (Hartwig Medical Foundation)	HARTWIG	WGS	10.1038/s41586-019-1689-y	Metastasis	Treated	Adult	8	55699	50264	575	2410	2450	Lung Neuroendocrine Tumor (LNET)	LNET	Lung (LUNG)	LUNG	PANCANCER	Lung (LUNG)	Lung Neuroendocrine Tumor (LNET)			
PCAWG_WGS_LUNG_ADENOCA	Lung adenocarcinomas (PCAWG)	PCAWG	WGS	10.1101/162784	Primary	Untreated	Adult	33	698243	664552	10444	16659	6588	Non-Small Cell Lung Cancer (NSCLC)	NSCLC	Lung (LUNG)	LUNG	PANCANCER	Lung (LUNG)	Non-Small Cell Lung Cancer (NSCLC)	Lung Adenocarcinoma (LUAD)		
PCAWG_WGS_LUNG_SCC	Lung squamous cell carcinomas (PCAWG)	PCAWG	WGS	10.1101/162784	Primary	Untreated	Adult	45	1772209	1677835	28783	46630	18961	Non-Small Cell Lung Cancer (NSCLC)	NSCLC	Lung (LUNG)	LUNG	PANCANCER	Lung (LUNG)	Non-Small Cell Lung Cancer (NSCLC)	Lung Squamous Cell Carcinoma (LUSC)		
HARTWIG_LYMPHOID	Lymphoid cancers (Hartwig Medical Foundation)	HARTWIG	WGS	10.1038/s41586-019-1689-y	Metastasis	Treated	Adult	22	315278	272274	1539	26030	15435	Non-Hodgkin Lymphoma (NHL)	NHL	Lymphoid Neoplasm (LNM)	LNM	PANCANCER	Lymphoid (LYMPH)	Lymphoid Neoplasm (LNM)	Non-Hodgkin Lymphoma (NHL)		
PCAWG_WGS_CNS_MEDULLO	Medulloblastomas (PCAWG)	PCAWG	WGS	10.1101/162784	Primary	Untreated	Adult	141	201116	179475	438	8524	12679	Medulloblastoma (MBL)	MBL	CNS/Brain (BRAIN)	BRAIN	PANCANCER	CNS/Brain (BRAIN)	Embryonal Tumor (EMBT)	Medulloblastoma (MBL)		
D_MB	Medulloblastomas (St. Jude Children's Research Hospital Cloud)	STJUDE	WGS	10.1038/nature11213	Primary	Untreated	Pediatric	38	21922	21888	0	26	8	Medulloblastoma (MBL)	MBL	CNS/Brain (BRAIN)	BRAIN	PANCANCER	CNS/Brain (BRAIN)	Embryonal Tumor (EMBT)	Medulloblastoma (MBL)		
PCAWG_WGS_MYELOID_MPN	Myeloproliferative neoplasms (PCAWG)	PCAWG	WGS	10.1101/162784	Primary	Untreated	Adult	23	22263	21522	37	503	201	Myeloproliferative Neoplasms (MPN)	MPN	Myeloid Neoplasm (MNM)	MNM	PANCANCER	Myeloid (MYELOID)	Myeloid Neoplasm (MNM)	Myeloproliferative Neoplasms (MPN)		
HARTWIG_MESOTHELIOMA	Mesotheliomas (Hartwig Medical Foundation)	HARTWIG	WGS	10.1038/s41586-019-1689-y	Metastasis	Treated	Adult	33	111336	100261	1310	6031	3734	Pleural Mesothelioma (PLMESO)	PLMESO	None	None	PANCANCER	Pleura (PLEURA)	Pleural Mesothelioma (PLMESO)			
OTHER_WGS_MM_NATLEUK2018	Plasma cell myelomas (The Institute of Cancer Research UK)	OTHER	WGS	10.1038/s41375-018-0103-3	Primary	Untreated	Adult	932	147482	142830	0	2964	1688	Non-Hodgkin Lymphoma (NHL)	NHL	Lymphoid Neoplasm (LNM)	LNM	PANCANCER	Lymphoid (LYMPH)	Lymphoid Neoplasm (LNM)	Non-Hodgkin Lymphoma (NHL)	Mature B-Cell Neoplasms (MBN)	Plasma Cell Myeloma (PCM)
D_NB	Neuroblastomas (St. Jude Children's Research Hospital Cloud)	STJUDE	WGS	10.1001/jama.2012.228	Primary	Untreated	Pediatric	48	45709	45567	9	102	31	Neuroblastoma (NBL)	NBL	None	None	PANCANCER	Peripheral Nervous System (PNS)	Neuroblastoma (NBL)			
TARGET_WGS_NBL_US	Neuroblastomas (TARGET program)	TARGET	WGS	10.1038/ng.2529	Primary	Untreated	Pediatric	211	14004	9360	0	468	4176	Neuroblastoma (NBL)	NBL	None	None	PANCANCER	Peripheral Nervous System (PNS)	Neuroblastoma (NBL)			
PCAWG_WGS_LYMPH_BNHL	Diffse large B-cell lymphomas (PCAWG)	PCAWG	WGS	10.1101/162784	Primary	Untreated	Adult	98	892703	825254	4136	37394	25919	Non-Hodgkin Lymphoma (NHL)	NHL	Lymphoid Neoplasm (LNM)	LNM	PANCANCER	Lymphoid (LYMPH)	Lymphoid Neoplasm (LNM)	Non-Hodgkin Lymphoma (NHL)	Mature B-Cell Neoplasms (MBN)	Diffuse Large B-Cell Lymphoma, NOS (DLBCLNOS)
HARTWIG_LUNG_NON_SMALL_CELL	Non small cell lung cancers (Hartwig Medical Foundation)	HARTWIG	WGS	10.1038/s41586-019-1689-y	Metastasis	Treated	Adult	335	11528936	10587955	217420	519617	203944	Non-Small Cell Lung Cancer (NSCLC)	NSCLC	Lung (LUNG)	LUNG	PANCANCER	Lung (LUNG)	Non-Small Cell Lung Cancer (NSCLC)			
PCAWG_WGS_BONE_OSTEOSARC	Osteosarcomas (PCAWG)	PCAWG	WGS	10.1101/162784	Primary	Untreated	Adult	40	138154	131042	699	4869	1544	Bone/Soft Tissue (BONE_SOFT_TISSUE)	BONE_SOFT_TISSUE	None	None	PANCANCER	Bone/Soft Tissue (BONE_SOFT_TISSUE)	Bone (BONE)	Osteosarcoma (OS)		
HARTWIG_BONESOFT_TISSUE	Bone and soft tissue cancers (Hartwig Medical Foundation)	HARTWIG	WGS	10.1038/s41586-019-1689-y	Metastasis	Treated	Adult	164	798312	725637	6336	41328	25011	Bone/Soft Tissue (BONE_SOFT_TISSUE)	BONE_SOFT_TISSUE	None	None	PANCANCER	Bone/Soft Tissue (BONE_SOFT_TISSUE)				
M_OS	Metastatic osteosarcomas (St. Jude Children's Research Hospital Cloud) 	STJUDE	WGS	10.1016/j.celrep.2014.03.003	Metastasis	Treated	Pediatric	4	9582	9560	0	19	3	Bone/Soft Tissue (BONE_SOFT_TISSUE)	BONE_SOFT_TISSUE	None	None	PANCANCER	Bone/Soft Tissue (BONE_SOFT_TISSUE)	Bone (BONE)	Osteosarcoma (OS)		
D_OS	Primary osteosarcomas (St. Jude Children's Research Hospital Cloud)	STJUDE	WGS	10.1016/j.celrep.2014.03.003	Primary	Untreated	Pediatric	29	41691	41595	0	63	33	Bone/Soft Tissue (BONE_SOFT_TISSUE)	BONE_SOFT_TISSUE	None	None	PANCANCER	Bone/Soft Tissue (BONE_SOFT_TISSUE)	Bone (BONE)	Osteosarcoma (OS)		
HARTWIG_OVARY	Ovarian cancers (Hartwig Medical Foundation)	HARTWIG	WGS	10.1038/s41586-019-1689-y	Metastasis	Treated	Adult	142	1272742	1161714	14327	67042	29659	Ovarian Cancer (OV)	OV	None	None	PANCANCER	Ovary/Fallopian Tube (OVARY)	Ovarian Cancer (OV)			
PCAWG_WGS_OVARY_ADENOCA	Ovarian adenocarcinomas (PCAWG)	PCAWG	WGS	10.1101/162784	Primary	Untreated	Adult	105	844528	782115	6637	46162	9614	Ovarian Cancer (OV)	OV	None	None	PANCANCER	Ovary/Fallopian Tube (OVARY)	Ovarian Cancer (OV)			
PCAWG_WGS_PANC_ADENOCA	Pancreatic adenocarcinomas (PCAWG)	PCAWG	WGS	10.1101/162784	Primary	Untreated	Adult	215	1187208	1066714	4571	56048	59875	Pancreas (PANCREAS)	PANCREAS	None	None	PANCANCER	Pancreas (PANCREAS)	Pancreatic Adenocarcinoma (PAAD)			
HARTWIG_PANCREAS	Pancreatic cancers (Hartwig Medical Foundation)	HARTWIG	WGS	10.1038/s41586-019-1689-y	Metastasis	Treated	Adult	73	455782	400065	2716	27131	25870	Pancreas (PANCREAS)	PANCREAS	None	None	PANCANCER	Pancreas (PANCREAS)				
HARTWIG_NET_PANCREATIC	Pancreatic neuroendocrine tumors (Hartwig Medical Foundation)	HARTWIG	WGS	10.1038/s41586-019-1689-y	Metastasis	Treated	Adult	25	103597	92457	771	6525	3844	Pancreas (PANCREAS)	PANCREAS	None	None	PANCANCER	Pancreas (PANCREAS)	Pancreatic Neuroendocrine Tumor (PANET)			
PCAWG_WGS_PANC_ENDOCRINE	Pancreatic neuroendocrine tumors (PCAWG)	PCAWG	WGS	10.1101/162784	Primary	Untreated	Adult	77	188688	179475	688	5586	2939	Pancreas (PANCREAS)	PANCREAS	None	None	PANCANCER	Pancreas (PANCREAS)	Pancreatic Neuroendocrine Tumor (PANET)			
PCAWG_WGS_CNS_PILOASTRO	Pilocytic astrocytomas (PCAWG)	PCAWG	WGS	10.1101/162784	Primary	Untreated	Adult	89	20311	19444	43	541	283	Pilocytic Astrocytoma (PAST)	PAST	CNS/Brain (BRAIN)	BRAIN	PANCANCER	CNS/Brain (BRAIN)	Encapsulated Glioma (ENCG)	Pilocytic Astrocytoma (PAST)		
PCAWG_WGS_PROST_ADENOCA	Prostate adenocarcinomas (PCAWG)	PCAWG	WGS	10.1101/162784	Primary	Untreated	Adult	196	571975	520833	2505	29319	19318	Prostate (PROSTATE)	PROSTATE	None	None	PANCANCER	Prostate (PROSTATE)	Prostate Adenocarcinoma (PRAD)			
HARTWIG_PROSTATE	Prostate cancers (Hartwig Medical Foundation)	HARTWIG	WGS	10.1038/s41586-019-1689-y	Metastasis	Treated	Adult	328	2228313	1919666	15054	157434	136159	Prostate (PROSTATE)	PROSTATE	None	None	PANCANCER	Prostate (PROSTATE)				
D_RB	Retinoblastomas ( St. Jude Children's Research Hospital Cloud)	STJUDE	WGS	10.1038/nature10733	Primary	Untreated	Pediatric	14	1873	1869	0	4	0	Retinoblastoma (RBL)	RBL	None	None	PANCANCER	Eye (EYE)	Retinoblastoma (RBL)			
PCAWG_WGS_KIDNEY_RCC	Renal cell carcinomas (PCAWG)	PCAWG	WGS	10.1101/162784	Primary	Untreated	Adult	137	810102	700300	10044	78168	21590	Kidney (KIDNEY)	KIDNEY	None	None	PANCANCER	Kidney (KIDNEY)	Renal Cell Carcinoma (RCC)			
HARTWIG_KIDNEY_RENAL_CELL	Renal cell carcinomas (Hartwig Medical Foundation)	HARTWIG	WGS	10.1038/s41586-019-1689-y	Metastasis	Treated	Adult	104	715752	627414	9023	54388	24927	Kidney (KIDNEY)	KIDNEY	None	None	PANCANCER	Kidney (KIDNEY)	Renal Cell Carcinoma (RCC)			
PCAWG_WGS_KIDNEY_CHRCC	Chromophobe renal cell carcinomas (PCAWG)	PCAWG	WGS	10.1101/162784	Primary	Untreated	Adult	42	67517	62321	407	3730	1059	Kidney (KIDNEY)	KIDNEY	None	None	PANCANCER	Kidney (KIDNEY)	Renal Cell Carcinoma (RCC)	Renal Non-Clear Cell Carcinoma (NCCRCC)	Chromophobe Renal Cell Carcinoma (CHRCC)	
D_RHBDS	Rhabdomyosarcomas (St. Jude Children's Research Hospital Cloud)	STJUDE	WGS	10.1016/j.ccr.2013.11.002	Primary	Untreated	Pediatric	13	14016	13994	0	17	5	Bone/Soft Tissue (BONE_SOFT_TISSUE)	BONE_SOFT_TISSUE	None	None	PANCANCER	Bone/Soft Tissue (BONE_SOFT_TISSUE)	Soft Tissue (SOFT_TISSUE)	Rhabdomyosarcoma (RMS)		
HARTWIG_SKIN_BASAL_CELL_CARCINOMA	Basal cell carcinomas (Hartwig Medical Foundation)	HARTWIG	WGS	10.1038/s41586-019-1689-y	Metastasis	Treated	Adult	6	487925	467283	15891	2641	2110	Basal Cell Carcinoma (BCC)	BCC	Skin (SKIN)	SKIN	PANCANCER	Skin (SKIN)	Basal Cell Carcinoma (BCC)			
HARTWIG_LUNG_SMALL_CELL	Small cell lung cancers (Hartwig Medical Foundation)	HARTWIG	WGS	10.1038/s41586-019-1689-y	Metastasis	Treated	Adult	47	1897167	1775442	42595	57257	21873	Small Cell Lung Cancer (SCLC)	SCLC	Lung (LUNG)	LUNG	PANCANCER	Lung (LUNG)	Small Cell Lung Cancer (SCLC)			
HARTWIG_SKIN_SKIN_SQUAMOUS_CELL_CARCINOMA	Cutaneous squamous cell carcinomas (Hartwig Medical Foundation)	HARTWIG	WGS	10.1038/s41586-019-1689-y	Metastasis	Treated	Adult	10	1957049	1796683	99604	45137	15625	Cutaneous Squamous Cell Carcinoma (CSCC)	CSCC	Skin (SKIN)	SKIN	PANCANCER	Skin (SKIN)	Cutaneous Squamous Cell Carcinoma (CSCC)			
PCAWG_WGS_STOMACH_ADENOCA	Stomach adenocarcinomas (PCAWG)	PCAWG	WGS	10.1101/162784	Primary	Untreated	Adult	59	639852	596868	2337	24634	16013	Stomach cancer (ST)	ST	Esophagus/Stomach (ESOPHA_STOMACH)	ESOPHA_STOMACH	PANCANCER	Esophagus/Stomach (ESOPHA_STOMACH)	Stomach cancer (ST)	Esophagogastric Adenocarcinoma (EGC)	Stomach Adenocarcinoma (STAD)	
HARTWIG_STOMACH	Stomach cancers (Hartwig Medical Foundation)	HARTWIG	WGS	10.1038/s41586-019-1689-y	Metastasis	Treated	Adult	38	745360	671287	4535	42293	27245	Stomach cancer (ST)	ST	Esophagus/Stomach (ESOPHA_STOMACH)	ESOPHA_STOMACH	PANCANCER	Esophagus/Stomach (ESOPHA_STOMACH)	Stomach cancer (ST)			
HARTWIG_THYROID	Thyroid cancers (Hartwig Medical Foundation)	HARTWIG	WGS	10.1038/s41586-019-1689-y	Metastasis	Treated	Adult	17	74457	67507	548	4050	2352	Thyroid (THYROID)	THYROID	None	None	PANCANCER	Thyroid (THYROID)				
PCAWG_WGS_THY_ADENOCA	Thyroid adenocarcinomas (PCAWG)	PCAWG	WGS	10.1101/162784	Primary	Untreated	Adult	48	63303	59334	245	2801	923	Thyroid (THYROID)	THYROID	None	None	PANCANCER	Thyroid (THYROID)				
PCAWG_WGS_UTERUS_ADENOCA	Endometrial adenocarcinomas (PCAWG)	PCAWG	WGS	10.1101/162784	Primary	Untreated	Adult	38	331657	288049	1288	30366	11954	Endometrial Carcinoma (UCEC)	UCEC	None	None	PANCANCER	Uterus (UTERUS)	Endometrial Carcinoma (UCEC)			
